id,exercise_name,muscle_group,exercise_type,equipment_needed,video_url,instructions,difficulty_level
132,Realigned Even-Keeled Framework,Legs,cardio,dumbbells,https://fightfit.ai/videos/ex_132.mp4,Corporis deserunt quaerat enim quisquam sit. Ratione eius cumque distinctio mollitia.,intermediate
133,Proactive Zero-Defect Forecast,Shoulders,stretch,bodyweight,https://fightfit.ai/videos/ex_133.mp4,Ullam quasi possimus id ullam accusamus distinctio officiis. Earum nihil qui aliquid.,advanced
134,Networked Contextually-Based Challenge,Core,stretch,bodyweight,https://fightfit.ai/videos/ex_134.mp4,Laudantium itaque laborum vel dolores architecto animi. Rem sequi sunt quasi explicabo. Aperiam maiores eos quas.,intermediate
135,Exclusive Needs-Based Groupware,Biceps,stretch,bodyweight,https://fightfit.ai/videos/ex_135.mp4,In dignissimos possimus eaque rem molestiae tempora. Repellat maiores quae velit veniam qui.,beginner
136,User-Centric Real-Time Migration,Triceps,stretch,bodyweight,https://fightfit.ai/videos/ex_136.mp4,Corporis dignissimos porro non. Officiis vel possimus sequi ducimus voluptatibus molestiae aliquid. Laborum officia consequuntur dolorum. Rerum temporibus doloribus ea.,advanced
137,Profound Interactive Challenge,Full Body,strength,bodyweight,https://fightfit.ai/videos/ex_137.mp4,Nemo doloremque nobis enim. Et maxime rem fuga dicta. Numquam accusantium ab est animi sed. Amet quis quasi rem fugiat in dolores explicabo.,beginner
138,Multi-Channeled Real-Time Internet Solution,Shoulders,cardio,dumbbells,https://fightfit.ai/videos/ex_138.mp4,Odio neque perferendis iusto veritatis necessitatibus. Itaque facilis natus.,intermediate
139,Grass-Roots Heuristic Interface,Core,plyometric,kettlebell,https://fightfit.ai/videos/ex_139.mp4,Vero quaerat expedita eaque ab qui. Quasi explicabo odio odit. Architecto magnam consequuntur enim.,intermediate
140,Horizontal Uniform Service-Desk,Biceps,cardio,bodyweight,https://fightfit.ai/videos/ex_140.mp4,Itaque reprehenderit enim distinctio aliquid sequi distinctio. Totam iusto aliquid. Rerum laboriosam doloremque odio earum adipisci. Blanditiis enim eos tempora itaque assumenda unde.,intermediate
141,Open-Architected Global Migration,Back,plyometric,dumbbells,https://fightfit.ai/videos/ex_141.mp4,Asperiores accusantium libero fuga voluptatum nihil. Quidem officiis iste illo quasi assumenda vel.,intermediate
142,Future-Proofed Value-Added Framework,Full Body,strength,bodyweight,https://fightfit.ai/videos/ex_142.mp4,Ut quaerat voluptatibus nostrum officiis ipsa eligendi. Nemo nostrum incidunt officia omnis. Aliquam facere iure esse a.,beginner
143,Diverse Multi-State Instruction Set,Shoulders,cardio,bodyweight,https://fightfit.ai/videos/ex_143.mp4,Ipsum soluta nihil dolorum quis quas accusantium. Quasi non laboriosam dolore. Distinctio dolorum minima.,beginner
144,Secured Attitude-Oriented Policy,Full Body,stretch,bodyweight,https://fightfit.ai/videos/ex_144.mp4,Dolor laborum quos omnis quos eos assumenda excepturi. Provident mollitia sit alias labore consequuntur at. Praesentium quos hic aperiam nobis nulla.,advanced
145,Balanced Client-Driven Leverage,Legs,cardio,kettlebell,https://fightfit.ai/videos/ex_145.mp4,Nihil in totam tempore harum iusto. Blanditiis soluta beatae aliquid sequi.,intermediate
146,Digitized Full-Range Archive,Biceps,cardio,kettlebell,https://fightfit.ai/videos/ex_146.mp4,Ipsum sed ullam quod tempore. Delectus quidem incidunt sunt veritatis quas quia. Eum totam officiis esse ab voluptate omnis. Alias harum mollitia est reiciendis minus officiis.,beginner
147,Ameliorated Needs-Based Archive,Biceps,stretch,bodyweight,https://fightfit.ai/videos/ex_147.mp4,Dolores labore harum quod ratione. Aliquid rem aliquam beatae magni enim maxime consectetur.,advanced
148,Streamlined Dynamic Open Architecture,Legs,plyometric,dumbbells,https://fightfit.ai/videos/ex_148.mp4,Amet esse maxime nostrum fugit autem. A quis aliquam porro cum reiciendis. Corrupti aut iusto quod.,intermediate
149,Enhanced Non-Volatile Access,Triceps,strength,kettlebell,https://fightfit.ai/videos/ex_149.mp4,Ipsum sit numquam deleniti molestias non vero. Voluptatem beatae asperiores nemo nam totam amet nesciunt. Illum ipsum alias eligendi dolore inventore.,intermediate
150,Reduced Directional Budgetary Management,Back,plyometric,kettlebell,https://fightfit.ai/videos/ex_150.mp4,Aliquid exercitationem tenetur quasi quisquam cupiditate. Consectetur ea voluptatem laudantium corrupti et laudantium.,intermediate
