fighter,age,height,wins_total,losses_total,SLpM_total,SApM_total
Chris Curtis,36.0,177.8,31.0,10.0,5.96,6.58
Chris Daukaus,34.0,190.5,12.0,7.0,6.05,4.64
Chris Dempsey,36.0,177.8,11.0,5.0,2.25,2.82
Chris Duncan,30.0,177.80000000000004,11.0,2.0,4.88,3.65
Chris Fishgold,31.0,172.72,18.0,4.0,2.01,2.7
Chris Gruetzemacher,37.0,172.72,15.0,5.0,6.18,4.96
Chris Gutierrez,32.0,175.26,20.0,6.0,4.8,2.79
Chris Haseman,54.0,180.34,20.0,17.0,0.93,4.67
Chris Heatherly,36.0,175.26,9.0,4.0,1.08,2.67
Chris Holdsworth,36.0,180.34,6.0,0.0,1.85,1.94
Chris Indich,36.0,177.8,6.0,4.0,1.31,4.32
Chris Kelades,43.0,170.18,9.0,3.0,2.4,2.64
Chris Leben,43.0,180.34,22.0,11.0,2.87,2.87
Chris Liguori,,175.26,15.0,10.0,0.29,1.44
Chris Lytle,49.0,180.34,31.0,18.0,3.7599999999999993,3.03
Chris Price,41.0,187.96,19.0,4.0,1.44,2.59
Chris Sanford,56.0,180.34,5.0,1.0,0.23,3.22
Chris Saunders,38.0,172.72,16.0,8.0,1.48,2.96
Chris Spang,36.0,187.96,6.0,3.0,1.83,1.95
Chris Tickle,42.0,175.26,9.0,9.0,1.07,1.13
Chris Tuchscherer,48.0,187.96,21.0,4.0,1.35,3.17
Chris Wade,36.0,177.8,12.0,3.0,1.7,1.75
Chris Weidman,39.0,187.96,15.0,7.0,2.98,3.27
Chris Wilson,46.0,185.42,18.0,10.0,2.32,1.36
Chris de la Rocha,44.0,190.5,5.0,3.0,4.08,6.37
Christian Aguilera,32.0,175.26,14.0,8.0,2.54,4.04
Christian Colombo,43.0,195.58,8.0,3.0,2.76,4.02
Christian Leroy Duncan,28.0,187.96,10.0,1.0,5.96,3.82
Christian Morecraft,37.0,198.12,8.0,3.0,2.82,2.46
Christian Rodriguez,26.0,170.18,11.0,1.0,3.45,2.28
Christian Wellisch,48.0,187.96,8.0,5.0,3.12,3.04
Christina Marks,38.0,170.18,8.0,9.0,5.0,3.0
Christophe Leninger,,182.88,3.0,4.0,0.0,0.0
Christos Giagos,34.0,177.8,20.0,11.0,2.98,2.95
Chuck Liddell,54.0,187.96,21.0,8.0,2.97,2.71
Chuck O'Neil,38.0,187.96,17.0,9.0,3.13,4.4
Cindy Dandois,39.0,170.18,8.0,3.0,3.13,3.4
Ciryl Gane,33.0,193.04,12.0,2.0,5.49,2.19
Claude Patrick,43.0,180.34,14.0,2.0,1.8,0.89
Claudia Gadelha,35.0,162.56,18.0,5.0,3.31,4.57
Claudio Puelles,27.0,177.8,13.0,4.0,1.56,2.78
Claudio Ribeiro,31.0,185.42,11.0,5.0,3.59,4.9
Claudio Silva,41.0,180.34,14.0,4.0,2.48,3.0
Clay Collard,31.0,180.34,14.0,7.0,4.22,5.0
Clay Guida,42.0,170.18,38.0,21.0,2.64,3.01
Clay Harvison,43.0,185.42,13.0,6.0,3.2900000000000005,3.91
Clayton Carpenter,27.0,167.64,7.0,0.0,4.5,2.85
Clifford Starks,42.0,182.88,13.0,3.0,1.9400000000000002,2.49
Clint Hester,37.0,187.96,11.0,6.0,3.36,3.44
Cody Brundage,29.0,182.88,10.0,5.0,1.8,2.51
Cody Donovan,43.0,190.5,8.0,5.0,5.61,5.44
Cody Durden,32.0,170.18,16.0,5.0,3.16,2.89
Cody East,35.0,190.5,12.0,3.0,4.15,7.32
Cody Garbrandt,32.0,172.72,14.0,5.0,3.06,3.91
Cody Gibson,36.0,177.80000000000004,20.0,10.0,4.0,4.08
Cody McKenzie,36.0,182.87999999999997,16.0,10.0,1.74,2.5
Cody Pfister,33.0,177.8,13.0,6.0,1.41,2.8
Cody Stamann,34.0,167.64,21.0,6.0,4.39,3.6300000000000003
Colby Covington,36.0,180.34,17.0,4.0,3.88,2.98
Cole Escovedo,42.0,170.18,17.0,9.0,1.7700000000000002,4.32
Cole Miller,39.0,185.42,21.0,11.0,3.0,3.88
Cole Smith,34.0,180.34,7.0,2.0,1.78,1.96
Cole Williams,40.0,182.88,11.0,3.0,0.31,5.34
Colin Fletcher,41.0,187.96,14.0,8.0,3.1,2.97
Colin Robinson,55.0,193.04,10.0,12.0,6.19,7.91
Collin Anglin,31.0,175.26,8.0,3.0,4.59,5.54
Collin Hart,34.0,185.42,6.0,3.0,6.33,7.53
Colton Smith,36.0,182.88,7.0,4.0,1.64,2.3
Conor McGregor,35.0,175.26,22.0,6.0,5.32,4.660000000000001
Constantinos Philippou,44.0,180.34,13.0,5.0,2.19,2.73
Corey Anderson,34.0,190.5,14.0,5.0,4.429999999999999,2.22
Corey Hill,45.0,193.04,6.0,9.0,3.57,1.61
Cortney Casey,36.0,170.18,10.0,10.0,4.29,4.0
Cory Hendricks,35.0,190.5,3.0,1.0,3.13,4.07
Cory McKenna,24.0,160.02,8.0,3.0,3.0,3.19
Cory Sandhagen,31.0,180.34,17.0,4.0,5.33,3.3999999999999995
Cory Walmsley,,182.88,8.0,2.0,0.79,1.18
Court McGee,39.0,180.34,22.0,12.0,4.63,3.68
Courtney Turner,,187.96,0.0,3.0,0.0,0.0
Crafton Wallace,48.0,182.88,18.0,6.0,1.55,2.36
Craig White,33.0,187.96,14.0,9.0,1.23,3.28
Cristian Quinonez,27.0,172.72,18.0,5.0,4.19,4.55
Cristiane Justino,38.0,172.72,21.0,2.0,7.28,2.25
Cristiano Marcello,46.0,175.26,13.0,6.0,2.56,3.61
Cristina Stanciu,29.0,160.02,5.0,2.0,2.5,3.07
Cub Swanson,40.0,172.72,29.0,13.0,4.7,3.84
Cung Le,51.0,175.26,9.0,3.0,4.36,2.98
Curt Warburton,,182.88,13.0,6.0,2.13,3.44
Curtis Blaydes,33.0,193.04,18.0,4.0,3.53,1.83
Curtis Millender,36.0,187.96,17.0,5.0,3.8600000000000003,2.95
Curtis Stout,50.0,185.42,11.0,12.0,0.69,3.2
Cynthia Calvillo,36.0,162.56,9.0,6.0,4.41,4.12
Cyril Asker,38.0,182.88,9.0,4.0,3.35,5.82
Cyrille Diabate,50.0,198.12,19.0,10.0,4.06,1.78
Da Woon Jung,30.0,193.04,15.0,5.0,3.4899999999999998,3.89
Da'Mon Blackshear,29.0,177.8,14.0,6.0,4.28,4.09
DaMarques Johnson,41.0,185.42,15.0,15.0,2.11,3.75
Daichi Abe,32.0,180.34,6.0,2.0,3.7999999999999994,4.49
Daiju Takase,45.0,182.88,12.0,15.0,0.49,1.64
Dakota Bush,29.0,177.8,8.0,4.0,2.77,4.42
Dalcha Lungiambula,36.0,172.72,11.0,6.0,3.07,3.93
Dale Hartt,44.0,177.80000000000004,6.0,3.0,1.14,1.55
Damacio Page,41.0,167.64,19.0,10.0,2.05,2.47
Damian Grabowski,43.0,185.42,20.0,5.0,4.0,7.650000000000001
Damian Stasiak,34.0,165.1,10.0,6.0,1.86,3.1
Damien Brown,39.0,177.80000000000004,17.0,12.0,3.66,4.86
Damir Hadzovic,37.0,175.26,14.0,7.0,3.36,3.26
Damir Ismagulov,33.0,177.8,24.0,3.0,3.36,2.44
Damon Jackson,35.0,180.34,22.0,6.0,3.02,3.46
Dan Argueta,30.0,170.18,9.0,1.0,2.35,1.9
Dan Barrera,43.0,175.26,3.0,1.0,0.8,1.2
Dan Bobish,54.0,187.96,17.0,9.0,2.06,1.74
Dan Christison,51.0,203.2,20.0,7.0,4.23,3.88
Dan Cramer,38.0,187.96,11.0,4.0,0.97,2.1
Dan Evensen,49.0,190.5,11.0,4.0,0.27,3.86
Dan Hardy,41.0,182.88,25.0,10.0,2.46,3.44
Dan Henderson,53.0,180.34,32.0,15.0,2.44,2.7
Dan Hooker,34.0,182.88,23.0,12.0,5.08,4.76
Dan Ige,32.0,170.18,18.0,7.0,3.76,3.52
Dan Lauzon,35.0,177.80000000000004,17.0,6.0,1.34,4.09
Dan Miller,42.0,185.42000000000002,14.0,8.0,2.03,3.06
Dan Moret,37.0,182.88,13.0,6.0,2.67,3.56
Dan Severn,65.0,187.96,101.0,19.0,0.0,0.0
Dan Stittgen,43.0,185.42,12.0,5.0,2.97,4.42
Daniel Barez,35.0,167.64,16.0,6.0,3.8,5.32
Daniel Cormier,45.0,180.34,22.0,3.0,4.25,2.9199999999999995
Daniel Jolly,39.0,185.42,5.0,3.0,1.32,3.39
Daniel Kelly,46.0,182.88,13.0,4.0,3.62,4.64
Daniel Lacerda,27.0,167.64,11.0,6.0,3.95,8.28
Daniel Marcos,31.0,170.18,15.0,0.0,5.75,4.0
Daniel Omielanczuk,41.0,182.88,19.0,8.0,3.09,3.29
Daniel Pineda,38.0,170.18,28.0,15.0,3.0899999999999994,3.18
Daniel Roberts,43.0,177.8,15.0,7.0,0.7299999999999999,2.27
Daniel Rodriguez,37.0,185.42,17.0,4.0,7.3,5.28
Daniel Santos,29.0,170.18,12.0,2.0,4.26,5.12
Daniel Sarafian,41.0,175.26,10.0,6.0,2.23,3.1
Daniel Spitz,33.0,200.66,6.0,3.0,2.6,5.3
Daniel Spohn,39.0,193.04,15.0,6.0,2.42,1.6
Daniel Teymur,36.0,165.1,7.0,4.0,3.08,3.9300000000000006
Daniel Zellhuber,24.0,185.42,15.0,1.0,5.86,5.06
Danielle Taylor,34.0,152.4,9.0,4.0,2.75,3.31
Danillo Villefort,40.0,185.42,15.0,5.0,2.86,2.4
Danilo Belluardo,29.0,182.88,12.0,5.0,1.52,4.79
Danilo Marques,38.0,198.12,11.0,4.0,1.44,2.52
Danny Abbadi,40.0,180.34,4.0,6.0,3.29,4.41
Danny Barlow,28.0,187.96,8.0,0.0,8.8,3.65
Danny Castillo,44.0,175.26,17.0,10.0,2.57,1.9599999999999997
Danny Chavez,37.0,172.72,11.0,5.0,2.86,3.83
Danny Downes,37.0,182.88,8.0,3.0,1.66,3.53
Danny Henry,35.0,182.88,12.0,4.0,5.2,4.16
Danny Martinez,38.0,167.64,21.0,8.0,2.73,3.77
Danny Mitchell,37.0,187.96,19.0,9.0,2.53,2.53
Danny Roberts,36.0,185.42,18.0,8.0,3.18,3.73
Danny Silva,27.0,180.34,9.0,1.0,8.3,9.47
Dante Rivera,49.0,185.42,16.0,7.0,2.27,4.0
Danyelle Wolf,40.0,180.34,1.0,1.0,2.37,4.57
Daria Zhelezniakova,28.0,175.26,9.0,1.0,3.8,1.67
Darian Weeks,30.0,180.34,5.0,3.0,4.49,4.56
Darko Stosic,32.0,182.88,13.0,4.0,2.61,4.04
Daron Cruickshank,38.0,172.72,18.0,10.0,2.8800000000000003,2.98
Darrel Gholar,,172.72,5.0,6.0,0.0,0.0
Darrell Horcher,36.0,177.8,13.0,4.0,2.05,4.21
Darrell Montague,36.0,167.64,13.0,5.0,1.92,5.38
Darren Elkins,39.0,177.8,28.0,11.0,3.44,3.27
Darren Stewart,33.0,182.88,12.0,8.0,3.0499999999999994,3.2900000000000005
Darren Till,31.0,182.88,18.0,5.0,2.3,3.3100000000000005
Darren Uyenoyama,44.0,167.64,10.0,6.0,1.34,2.21
Darrick Minner,33.0,170.18,26.0,14.0,2.63,2.28
Darrill Schoonover,38.0,187.96,14.0,8.0,1.2,4.35
Darrius Flowers,29.0,175.26,12.0,7.0,2.94,5.16
Dashon Johnson,36.0,170.18,9.0,2.0,1.01,3.83
Dave Beneteau,,187.96,6.0,5.0,0.0,0.0
Dave Berry,,190.5,0.0,1.0,0.0,0.0
Dave Galera,46.0,180.34,5.0,1.0,1.67,0.53
Dave Herman,39.0,193.04,22.0,6.0,4.98,3.78
Dave Menne,49.0,177.80000000000004,45.0,17.0,1.84,1.99
Dave Strasser,54.0,177.8,25.0,8.0,3.04,1.88
Davey Grant,38.0,172.72,15.0,7.0,4.77,3.82
Davi Ramos,37.0,167.64000000000001,10.0,4.0,2.64,3.44
David Abbott,,182.88,10.0,15.0,1.35,3.55
David Baron,51.0,167.64,17.0,4.0,1.17,2.1
David Bielkheden,44.0,177.80000000000004,24.0,12.0,1.11,1.64
David Branch,42.0,185.42,22.0,6.0,1.66,1.9099999999999997
David Dodd,50.0,187.96,4.0,7.0,0.0,0.0
David Dvorak,31.0,165.1,20.0,6.0,3.48,3.2900000000000005
David Heath,48.0,180.34,18.0,7.0,1.48,5.16
David Hood,,182.88,1.0,3.0,0.0,0.0
David Kaplan,44.0,170.18,3.0,4.0,2.88,4.32
David Lee,,177.8,12.0,10.0,1.49,3.31
David Levicki,,195.58,1.0,3.0,0.0,0.0
David Loiseau,44.0,182.88,23.0,11.0,1.59,3.6399999999999997
David Michaud,35.0,175.26,11.0,3.0,3.25,4.45
David Mitchell,44.0,182.88,22.0,7.0,1.7399999999999998,2.06
David Onama,29.0,180.34,11.0,2.0,5.38,5.48
David Roberts,48.0,185.42,5.0,8.0,0.0,0.0
David Terrell,46.0,185.42,6.0,2.0,2.34,2.7099999999999995
David Teymur,34.0,175.26,8.0,2.0,4.69,3.53
David Velasquez,,165.1,10.0,10.0,0.0,0.0
David Zawada,33.0,182.88,17.0,7.0,3.84,4.54
Dean Barry,31.0,177.8,4.0,2.0,9.31,4.66
Dean Lister,48.0,185.42,13.0,7.0,1.26,1.89
Deiveson Figueiredo,36.0,165.1,22.0,3.0,3.0800000000000005,3.46
Delson Heleno,46.0,180.34,29.0,10.0,0.69,4.83
Demetrious Johnson,37.0,160.02,27.0,3.0,3.43,1.66
Demian Maia,46.0,185.42,28.0,11.0,1.8,2.07
Denis Kang,46.0,180.34,35.0,16.0,2.27,1.6499999999999997
Denis Stojnic,44.0,182.88,13.0,3.0,1.51,6.06
Denis Tiuliulin,35.0,185.42,10.0,9.0,4.5,6.15
Denise Gomes,24.0,157.48,8.0,3.0,4.81,3.66
Dennis Bermudez,37.0,167.64,17.0,9.0,4.42,3.07
Dennis Buzukja,26.0,175.26,11.0,4.0,3.3,4.93
Dennis Hallman,48.0,175.26,53.0,20.0,1.12,1.96
Dennis Siver,45.0,167.64,23.0,11.0,3.87,2.67
Denys Bondar,31.0,167.64,14.0,5.0,4.59,5.16
Dequan Townsend,37.0,190.5,21.0,12.0,1.23,3.92
Derek Brunson,40.0,185.42,23.0,9.0,3.51,3.05
Derek Downey,43.0,185.42,11.0,4.0,0.32,3.36
Deron Winn,34.0,167.64,7.0,3.0,4.55,6.21
Derrick Krantz,36.0,177.8,22.0,12.0,2.07,4.03
Derrick Lewis,39.0,190.5,27.0,12.0,2.43,2.48
Derrick Noble,45.0,175.26,27.0,15.0,6.21,3.79
Desmond Green,34.0,177.8,23.0,8.0,3.7,2.5100000000000002
Devin Clark,33.0,182.88,14.0,9.0,3.03,3.24
Devin Powell,36.0,182.88,9.0,4.0,2.88,3.67
Devonte Smith,30.0,175.26,11.0,4.0,4.55,3.91
Dhiego Lima,35.0,187.96,17.0,9.0,3.12,3.88
Diana Belbita,27.0,170.18,15.0,9.0,6.54,6.55
Diego Brandao,36.0,170.18,22.0,11.0,2.94,3.38
Diego Ferreira,39.0,175.26,18.0,5.0,4.660000000000001,3.4199999999999995
Diego Lopes,29.0,180.34,23.0,6.0,2.47,4.91
Diego Nunes,41.0,167.64,19.0,7.0,2.72,2.59
Diego Rivas,32.0,172.72,10.0,2.0,1.37,2.14
Diego Sanchez,42.0,177.8,31.0,13.0,2.69,3.02
Diego Saraiva,41.0,167.64,22.0,20.0,1.64,3.58
Dieusel Berto,,175.26,0.0,3.0,0.0,0.0
Dileno Lopes,39.0,165.1,19.0,3.0,2.37,3.33
Din Thomas,47.0,175.26,26.0,9.0,1.8500000000000003,2.6
Dmitri Stepanov,,190.5,0.0,1.0,0.0,0.0
Dmitrii Smoliakov,41.0,187.96,9.0,3.0,1.4400000000000002,3.81
Dmitry Sosnovskiy,34.0,190.5,11.0,0.0,2.95,2.53
Dokonjonosuke Mishima,51.0,170.18,21.0,7.0,1.06,1.22
Domingo Pilarte,34.0,182.88,8.0,3.0,1.31,2.96
Dominic Waters,34.0,185.42,9.0,5.0,0.48,2.53
Dominick Cruz,39.0,172.72,24.0,4.0,3.91,2.61
Dominick Reyes,34.0,193.04,12.0,4.0,4.75,3.7700000000000005
Dominique Steele,36.0,177.8,14.0,9.0,2.32,2.42
Don Frye,58.0,185.42,20.0,9.0,2.87,3.5699999999999994
Don Madge,33.0,182.88,9.0,3.0,2.08,0.74
Don Shainis,33.0,167.64,12.0,5.0,3.42,5.87
Don'Tale Mayes,32.0,198.12000000000003,10.0,6.0,3.6,3.84
Donald Cerrone,40.0,185.42,36.0,17.0,4.41,4.48
Dong Hyun Kim,42.0,187.96,22.0,4.0,2.12,1.8899999999999997
Dong Hyun Ma,35.0,180.34,16.0,11.0,2.84,4.1
Dongi Yang,39.0,177.8,13.0,3.0,3.55,3.21
Donnie Chappell,,180.34,0.0,1.0,0.0,0.0
Donny Walker,44.0,175.26,15.0,10.0,1.81,3.85
Dooho Choi,32.0,177.80000000000004,14.0,4.0,4.74,4.91
Dorian Price,46.0,190.5,8.0,5.0,0.0,0.0
Doug Evans,43.0,175.26,13.0,10.0,1.79,2.55
Douglas Silva de Andrade,38.0,170.18,29.0,5.0,3.66,3.99
Drakkar Klose,36.0,175.26,14.0,2.0,4.33,3.4
Drako Rodriguez,27.0,172.72,7.0,3.0,3.37,4.4
Drew Dober,35.0,172.72,27.0,13.0,4.34,4.23
Drew Fickett,44.0,177.8,42.0,21.0,2.3300000000000005,2.29
Drew McFedries,45.0,182.88,12.0,7.0,5.13,4.56
Dricus Du Plessis,30.0,185.42,21.0,2.0,6.49,4.7700000000000005
Duane Ludwig,45.0,177.8,21.0,14.0,4.62,3.05
Duda Santana,28.0,170.18,3.0,1.0,6.01,2.72
Dusko Todorovic,29.0,185.42,12.0,4.0,5.54,4.55
Dustin Hazelett,37.0,185.42,12.0,7.0,2.24,3.5099999999999993
Dustin Jacoby,35.0,190.5,19.0,8.0,5.53,4.07
Dustin Kimura,34.0,170.18,11.0,3.0,1.33,3.8199999999999994
Dustin Neace,37.0,175.26,25.0,21.0,2.08,2.66
Dustin Ortiz,35.0,165.1,19.0,8.0,2.94,2.17
Dustin Pague,36.0,175.26,12.0,11.0,1.6499999999999997,2.9599999999999995
Dustin Poirier,35.0,175.26,30.0,8.0,5.45,4.36
Dustin Stoltzfus,32.0,182.88,15.0,5.0,3.49,3.2900000000000005
Dwayne Cason,,177.8,1.0,1.0,0.0,0.0
Dwight Grant,39.0,185.42,11.0,6.0,3.29,2.66
Dylan Andrews,44.0,185.42,18.0,7.0,2.21,2.72
Ebenezer Fontes Braga,54.0,182.88,13.0,7.0,2.42,0.42
Ed Herman,43.0,185.42,27.0,16.0,3.31,3.71
Eddie Alvarez,40.0,175.26,29.0,6.0,4.32,4.39
Eddie Gordon,40.0,182.88,8.0,4.0,2.03,2.57
Eddie Mendez,40.0,177.8,8.0,3.0,1.71,3.43
Eddie Ruiz,56.0,170.18,1.0,1.0,0.2,1.4
Eddie Sanchez,41.0,187.96,15.0,8.0,3.4500000000000006,3.2999999999999994
Eddie Wineland,39.0,170.18,24.0,16.0,3.4,3.76
Eddie Yagin,45.0,170.18,16.0,7.0,3.13,5.77
Edgar Chairez,28.0,170.18,11.0,5.0,2.69,4.1
Edgar Garcia,40.0,177.8,14.0,5.0,3.16,4.23
Edilberto de Oliveira,41.0,182.88,29.0,15.0,4.12,6.79
Edimilson Souza,39.0,182.88,15.0,5.0,4.65,2.91
Edmen Shahbazyan,26.0,187.96,13.0,4.0,3.6,4.09
Ednaldo Oliveira,40.0,195.58,17.0,3.0,1.03,1.8
Edson Barboza,38.0,180.33999999999997,24.0,11.0,4.18,4.34
Eduarda Moura,30.0,167.64,10.0,0.0,5.61,0.45
Eduardo Garagorri,34.0,175.26,13.0,2.0,3.42,2.36
Edward Faaloloto,39.0,181.61,2.0,5.0,2.28,6.25
Edwin DeWees,41.0,185.42,38.0,17.0,1.53,6.19
Edwin Figueroa,39.0,170.18,9.0,5.0,2.57,3.06
Efrain Escudero,38.0,175.26,28.0,12.0,2.92,2.3
Eiji Mitsuoka,48.0,170.18,18.0,9.0,1.49,2.26
Eldo Xavier Dias,59.0,180.34,0.0,1.0,0.0,0.0
Elias Garcia,31.0,165.1,6.0,2.0,1.59,5.05
Elias Silverio,37.0,180.34,13.0,3.0,3.6700000000000004,2.97
Elias Theodorou,35.0,185.42,16.0,3.0,4.19,2.39
Eliot Marshall,43.0,187.96,10.0,4.0,1.93,2.39
Elise Reed,31.0,160.02,7.0,4.0,2.66,3.06
Elizabeth Phillips,37.0,167.64,6.0,6.0,2.6,3.07
Elizeu Zaleski dos Santos,37.0,180.34,24.0,7.0,4.52,3.33
Elves Brener,26.0,177.80000000000004,16.0,3.0,4.64,5.05
Elvis Mutapcic,37.0,182.88,15.0,6.0,3.41,4.27
Elvis Sinosic,53.0,190.5,7.0,11.0,1.13,4.6
Emil Meek,35.0,180.34,9.0,5.0,2.52,2.53
Emily Ducote,30.0,157.48,13.0,8.0,6.93,7.98
Emily Kagan,42.0,160.02,3.0,3.0,2.6,5.29
Emily Whitmire,32.0,165.1,4.0,5.0,2.5,2.98
Emmanuel Yarborough,63.0,203.2,1.0,2.0,0.0,0.0
Enrique Barzola,34.0,170.18,17.0,5.0,3.9099999999999997,2.97
Enrique Marin,37.0,177.8,10.0,4.0,1.43,3.0
Enson Inoue,56.0,177.8,12.0,8.0,1.7,1.88
Eric Martin,,182.88,0.0,1.0,0.0,0.0
Eric Schafer,46.0,190.5,14.0,8.0,1.8899999999999997,3.38
Eric Shelton,33.0,167.64,12.0,6.0,2.57,1.88
Eric Spicely,37.0,185.42,12.0,6.0,3.71,5.72
Eric Wisely,39.0,172.72,26.0,9.0,1.42,2.08
Erick Gonzalez,32.0,180.34,14.0,8.0,2.4,8.08
Erick Montano,38.0,182.88,7.0,5.0,2.7900000000000005,2.06
Erick Silva,39.0,182.88,19.0,9.0,2.5,4.18
Ericka Almeida,35.0,167.64,7.0,3.0,1.07,3.33
Erik Koch,35.0,177.8,16.0,6.0,2.33,2.82
Erik Perez,34.0,172.72,17.0,6.0,3.16,2.09
Erik Silva,37.0,175.26,9.0,3.0,2.07,1.57
Erin Blanchfield,24.0,162.56,12.0,1.0,5.580000000000001,3.32
Ernest Chavez,40.0,172.72,10.0,2.0,2.7900000000000005,3.89
Ernie Verdicia,,180.34,0.0,1.0,0.0,0.0
Eryk Anders,36.0,185.42,16.0,8.0,3.41,4.17
Esteban Ribovics,27.0,177.8,12.0,1.0,6.16,3.4
Estevan Payan,42.0,177.80000000000004,16.0,12.0,4.25,3.58
Eugene Jackson,57.0,172.72,15.0,9.0,2.19,3.44
Eugenio Tadeu,,172.72,2.0,3.0,0.0,0.0
Evan Dunham,42.0,177.8,18.0,9.0,5.33,3.54
Evan Elder,26.0,177.80000000000004,8.0,2.0,4.75,5.0
Evan Tanner,53.0,182.88,32.0,8.0,3.05,2.64
Fabiano Iha,53.0,172.72,9.0,5.0,1.73,2.4899999999999998
Fabiano Scherner,51.0,190.5,11.0,10.0,1.31,3.2
Fabio Cherant,29.0,185.42,7.0,4.0,1.3500000000000003,4.89
Fabio Gurgel,,182.88,3.0,2.0,0.0,0.0
Fabio Maldonado,44.0,185.42,23.0,11.0,5.29,4.31
Fabricio Camoes,45.0,177.8,14.0,9.0,1.29,1.85
Fabricio Werdum,46.0,193.04,24.0,9.0,3.5900000000000003,2.64
Falaniko Vitale,49.0,177.8,30.0,11.0,1.88,3.68
Fares Ziam,27.0,185.42,15.0,4.0,2.7,1.72
Farid Basharat,26.0,172.72,12.0,0.0,4.47,2.44
Felice Herrig,39.0,162.56,14.0,10.0,3.84,5.19
Felicia Spencer,33.0,167.64,9.0,3.0,3.2099999999999995,4.54
Felipe Arantes,36.0,172.72,18.0,10.0,2.37,2.66
Felipe Bunes,34.0,170.18,13.0,7.0,5.25,8.72
Felipe Colares,29.0,172.72,10.0,4.0,2.17,4.65
Felipe Olivieri,38.0,175.26,14.0,5.0,6.68,4.6
Felipe Silva,39.0,182.88,8.0,2.0,5.400000000000001,1.8
Felipe dos Santos,23.0,170.18,8.0,1.0,4.53,5.07
Felix Lee Mitchell,,186.26666666666665,2.0,7.0,0.0,0.0
Fernando Bruno,42.0,167.64,15.0,4.0,1.75,1.78
Fernando Padilla,27.0,185.42,16.0,5.0,6.48,5.25
Fernie Garcia,31.0,170.18,10.0,5.0,2.04,3.79
Filip Pejic,31.0,172.72,12.0,2.0,0.0,0.88
Flavio Luiz Moura,,180.34,19.0,7.0,0.67,0.0
Floyd Sword,47.0,182.88,12.0,3.0,0.78,1.57
Forrest Griffin,45.0,190.5,19.0,7.0,4.38,2.81
Forrest Petz,48.0,175.26,26.0,10.0,2.27,2.2
Francesco Maturi,,180.34,0.0,1.0,0.0,0.0
Francimar Barroso,44.0,185.42,19.0,7.0,2.77,3.07
Francis Carmont,42.0,190.5,25.0,12.0,2.22,1.64
Francis Marshall,25.0,175.26,7.0,2.0,3.66,4.07
Francis Ngannou,37.0,193.04,17.0,3.0,2.3300000000000005,2.16
Francisco Figueiredo,34.0,167.64,13.0,5.0,2.04,2.59
Francisco Prado,21.0,177.80000000000004,12.0,2.0,4.58,5.66
Francisco Rivera,42.0,172.72,11.0,7.0,4.07,3.16
Francisco Trevino,42.0,175.26,13.0,3.0,2.65,2.42
Francisco Trinaldo,45.0,175.26000000000002,28.0,9.0,3.13,2.67
Frank Camacho,34.0,177.8,22.0,10.0,6.56,7.44
Frank Caracci,,180.34,2.0,3.0,0.0,0.0
Frank Hamaker,,187.96,1.0,0.0,0.0,0.0
Frank Lester,39.0,180.34,11.0,6.0,2.18,3.82
Frank Mir,44.0,190.5,18.0,11.0,2.18,3.84
Frank Shamrock,51.0,177.8,23.0,10.0,4.75,4.66
Frank Trigg,51.0,175.26,21.0,9.0,2.79,1.9
Frankie Edgar,42.0,167.64,23.0,11.0,3.77,2.82
Frankie Perez,34.0,180.34,10.0,4.0,1.64,2.17
Frankie Saenz,43.0,167.64,13.0,7.0,3.94,3.5
Fred Ettish,,182.88,1.0,1.0,0.0,0.0
Fredson Paixao,44.0,167.64,10.0,5.0,1.71,2.31
Fredy Serrano,44.0,160.02,3.0,2.0,1.58,1.89
Gabe Green,30.0,177.8,11.0,5.0,6.28,6.95
Gabe Ruediger,46.0,177.80000000000004,18.0,8.0,1.7,5.16
Gabriel Benitez,35.0,172.72,23.0,12.0,4.92,4.26
Gabriel Bonfim,26.0,185.42,15.0,1.0,4.87,5.25
Gabriel Gonzaga,44.0,187.96,17.0,11.0,2.12,2.9399999999999995
Gabriel Miranda,34.0,180.34,17.0,6.0,3.52,6.88
Gabriel Santos,27.0,175.26,10.0,2.0,4.46,6.03
Gabriel Silva,29.0,167.64,8.0,2.0,1.3,3.47
Gabriella Fernandes,30.0,167.64,8.0,3.0,1.63,2.7
Gadzhi Omargadzhiev,31.0,185.42,13.0,2.0,1.8,2.2
Gadzhimurad Antigulov,37.0,180.34,20.0,8.0,2.08,4.21
Gaetano Pirrello,31.0,170.18,15.0,7.0,0.99,2.44
Galore Bofando,41.0,180.34,5.0,3.0,3.63,3.63
Gan McGee,47.0,208.28,13.0,5.0,2.2,2.31
Garett Whiteley,43.0,182.88,7.0,3.0,3.72,4.04
Garreth McLellan,41.0,185.42,13.0,6.0,3.56,2.94
Garrett Armfield,27.0,167.64,10.0,3.0,6.22,3.93
Gary Goodridge,58.0,190.5,23.0,22.0,1.84,2.14
Gasan Umalatov,41.0,180.34,17.0,4.0,2.23,4.1
Gaston Bolanos,31.0,170.18,7.0,4.0,3.88,3.49
Gavin Tucker,37.0,167.64000000000001,13.0,3.0,4.29,4.18
Geane Herrera,33.0,165.1,9.0,3.0,1.51,5.07
Gegard Mousasi,38.0,187.96,42.0,6.0,3.75,1.21
